Method,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,TN,TN,TN
Aeshnidae (9),,,,,,,,,,,,,,,,,,1,1,1,1.00,0.00,,,
Corduliidae (5),,,,,,,,,,,,,,,,1,1,,2,1,1.00,0.00,1,1,1
Gomphidae (8),,,,,,,,1,,,,,,,1,,,,2,1,1.00,0.00,1,1,1
Libellulidae (4),,,,,,,,,,,,,,,,,,,0,,,,,,
Baetidae (7),,,,,,,,,,,,,,,,,,,0,,,,,,
Caenidae (7),,,,,,,,,,,,,,,,,,,0,,,,,,
Heptageniidae (9),,,,,,,,,,,,,,,,,,,0,,,,,,
Leptophlebiidae (10),,,,,,,,,,,,,,,,,,,0,,,,,,
Leuctridae (10),,,,,,,,,,,,,,,,,,,0,,,,,,
Perlidae (9),,,,,,,,,,,,,,,,,,,0,,,,,,
Corixidae (10),,,,,,,,,,,,,,,,,,,0,,,,,,
Gerridae (5),,,,,,,,,,,,,,,,,,,0,,,,1,1,
Helotrephidae (4),,,,,,,,,,,,,,,,,,,0,,,,,,
Mesoveliidae (10),,,,,,,,,,,,,,,,,,,0,,,,,,
Naucoridae (7),,,,,,,,,,,,,,,,,,,0,,,,,,
Notonectidae (8),,,,,,,,,,,,,,,,,,,0,,,,,,
Veliidae (7),,,,,,,,,,,,,,1,,,,,1,1,1.00,0.00,1,1,1
Sialidae (8),,,,,,,,,,,,,,,,,,,0,,,,,,
Calamoceratidae (9),,,,,,,,,,,,,,,,,,,0,,,,,,
Ecnomidae (6),,,,,,,,,,,,,,,,,,,0,,,,,,
Hydropsychidae (7),,,,,,,,,,,,,,,,,,,0,,,,,,
Hydroptilidae (6),,,,,,,,,,,,,,,,,,,0,,,,,,
Leptoceridae (7),,,,,,,,,,,,,,,,,,,0,,,,,,
Odontoceridae (10),,,,,,,,,,,,,,,,,,,0,,,,,,
Philopotamidae (8),,,,,,,,,,,,,,,,,,,0,,,,,,
Polycentropodidae (9),,,,,,,,,,,,,,,,,,,0,,,,,,
Crambidae (5),,,,,,,,,,,,,,,,,,,0,,,,,,
Curculionidae (6),,,,,,,,,,,,,,,,,,,0,,,,,,
Dytiscidae (5),,,,,,,,,,,,,,,,,,,0,,,,,,1
Hydraenidae (8),,,,,,,,,,,,,,,,,,,0,,,,,,
Hydrophilidae (6),,,,,,,,,,,,1,,,,,,,1,1,1.00,0.00,,,
Scirtidae (8),,,,,,,,,,,,,,,,,,,0,,,,,,
Athericidae (10),,,,,,,,,,,,,,,,,,,0,,,,,,
Canacidae (6),,,,,,,,,,,,,,,,,,,0,,,,,,
Ceratopogonidae (3),,,,,1,,,,,,,,1,,,,,,2,1,1.00,0.00,,,
Chironomidae (2),5,1,2,20,8,10,,,,,4,6,,5,3,179,61,19,323,6,24.85,15.00,1,,1
Corethrellidae (10),,,,,,,,,,,,,,,,,,,0,,,,,,
Culicidae (1),,,,,,,,,,,,,1,,,3,2,2,8,2,2.00,0.25,,,
Dolichopodidae (1),,,,,,,,,,,,,,,,,,,0,,,,,,
Empididae (4),,,,,,,,,,,,,,,,,,,0,,,,,,
Ephydridae (4),,,,,,,,,,,,,,,,1,,,1,1,1.00,0.00,,,
Muscidae (6),,,,,,,,,,,,,,,,,,,0,,,,,,
Psychodidae (2),,,,,,,,,,,,,,,,,1,,1,1,1.00,0.00,,,
Simuliidae (7),,,,,,,,,,,,,,,,,,,0,,,,,,
Syrphidae (4),,,,,,,,,,,,,,,,,,,0,,,,,,
Tipulidae (3),,,,,,,,,,,,,,,,,,,0,,,,,,
Collembola (5),,,,,,,,,,,,,,,,,,,0,,,,,,
Acari (4),,,,,,,,,,,,,,1,,,1,,2,1,1.00,0.00,,,
Gyrinidae,,,,,,,,,,,,,,,,1,,,1,1,1.00,0.00,,,
Cecidomyiidae,,,,,,,,,,,,,,,1,,1,,2,1,1.00,0.00,,,
Nematoda,,,,,,,,,,,,,,,,,3,,3,3,3.00,0.00,,,
Araneae,,,,,,,,,,,1,,,,,,,,1,1,1.00,0.00,,,
Drosophilidae,,,,,,,,,,1,,,,,,,,,1,1,1.00,0.00,,,
Limnonectes blythii,,,,,,,,,,,,,,,,,,,0,,,,,,1
"Poeciliidae (Gambusia affinis, mosquitofish)",,4,,,,,,,,,,,,,,,,,4,4,4.00,0.00,,,
"Poeciliidae (Poecilia reticulata, Guppy)",,,,,,,,,,,,,,,,,,,0,,,,,1,1
"Osphronemidae (Betta pugnax, Malayan Forest Betta)",,,,,,,,,,,,,,,,,,,0,,,,,,1
"Aplocheilidae (Aplocheilus lineatus, Striped panchax)",,,,,,,,,,,,,,,,,,,0,,,,,1,
"Aplocheilidae (Aplocheilus panchax, Whitespot)",,,,,,,,,,,,,,,,,,,0,,,,,,1
Total,6,7,3,26,9,20,1,2,1,1,5,7,2,7,5,187,86,28,403,,,,6,8,13
